ID,title,author,price,stock
1,The Alchemist,Paulo Coelho,299.00,120
2,Brida,Paulo Coelho,249.50,90
3,Eleven Minutes,Paulo Coelho,275.00,60
4,Veronika Decides to Die,Paulo Coelho,260.00,35
5,Ikigai,Hector Garcia,350.00,80
6,The Ikigai Journey,Hector Garcia,325.00,70
7,Awakening Your Ikigai,Hector Garcia,310.00,55
8,Atomic Habits,James Clear,399.00,150
9,The Clear Habit Journal,James Clear,449.00,95
10,Zero to One,Peter Thiel,420.00,40
11,Blitzscaling,Peter Thiel,450.00,55
12,Rich Dad Poor Dad,Robert Kiyosaki,299.00,200
13,Cashflow Quadrant,Robert Kiyosaki,320.00,120
14,Rich Dad's Guide to Investing,Robert Kiyosaki,340.00,90
15,Sapiens,Yuval Noah Harari,499.00,15
16,Homo Deus,Yuval Noah Harari,475.00,25
17,21 Lessons for the 21st Century,Yuval Noah Harari,460.00,30
18,Deep Work,Cal Newport,350.00,20
19,Digital Minimalism,Cal Newport,325.00,45
20,Think Like a Monk,Jay Shetty,280.00,85
21,8 Rules of Love,Jay Shetty,299.00,65
22,Grit,Angela Duckworth,330.00,55
23,Outliers,Malcolm Gladwell,360.00,110
24,The Tipping Point,Malcolm Gladwell,340.00,95
25,David and Goliath,Malcolm Gladwell,345.00,75
